problem,granularity,scope,feature,classifier,parameters,val_acc,val_prec,val_rec,val_gmean,val_f1,val_mcc,train_time,val_time,test_acc,test_prec,test_rec,test_gmean,test_f1,test_mcc,test_time
cvss3_severity,method,whole,codebert,lgbm,100-100,0.506,0.382,0.306,0.342,0.295,0.153,11.462,0.004,0.489,0.377,0.28,0.325,0.275,0.071,0.004
cvss3_severity,method,whole,codebert,lgbm,100-200,0.497,0.37,0.301,0.334,0.29,0.139,20.896,0.005,0.5,0.443,0.284,0.355,0.276,0.087,0.005
cvss3_severity,method,whole,codebert,lgbm,100-300,0.489,0.391,0.298,0.341,0.289,0.124,28.763,0.006,0.51,0.415,0.294,0.349,0.29,0.109,0.005
cvss3_severity,method,whole,codebert,lgbm,200-100,0.506,0.382,0.306,0.342,0.295,0.153,19.978,0.007,0.5,0.383,0.286,0.331,0.28,0.09,0.007
cvss3_severity,method,whole,codebert,lgbm,200-200,0.504,0.353,0.305,0.328,0.294,0.15,32.951,0.009,0.499,0.4,0.285,0.337,0.28,0.088,0.008
cvss3_severity,method,whole,codebert,lgbm,200-300,0.479,0.341,0.29,0.315,0.28,0.106,40.833,0.01,0.504,0.412,0.29,0.345,0.286,0.098,0.009
cvss3_severity,method,whole,codebert,lgbm,300-100,0.511,0.378,0.31,0.343,0.3,0.163,27.051,0.01,0.508,0.373,0.288,0.328,0.28,0.102,0.009
cvss3_severity,method,whole,codebert,lgbm,300-200,0.506,0.357,0.307,0.331,0.297,0.155,36.743,0.011,0.496,0.367,0.281,0.321,0.274,0.083,0.011
cvss3_severity,method,whole,codebert,lgbm,300-300,0.484,0.349,0.293,0.32,0.283,0.115,44.183,0.013,0.505,0.385,0.288,0.333,0.283,0.098,0.011
cvss3_severity,method,whole,codebert,lgbm,400-100,0.506,0.363,0.307,0.334,0.298,0.155,32.046,0.014,0.504,0.337,0.285,0.31,0.277,0.096,0.012
cvss3_severity,method,whole,codebert,lgbm,400-200,0.501,0.35,0.304,0.327,0.295,0.146,39.123,0.014,0.494,0.366,0.28,0.32,0.272,0.078,0.013
cvss3_severity,method,whole,codebert,lgbm,400-300,0.489,0.346,0.296,0.32,0.286,0.125,46.46,0.016,0.508,0.397,0.291,0.34,0.287,0.103,0.014
cvss3_severity,method,whole,codebert,lgbm,500-100,0.504,0.358,0.306,0.331,0.296,0.152,34.498,0.016,0.508,0.352,0.289,0.319,0.283,0.104,0.014
cvss3_severity,method,whole,codebert,lgbm,500-200,0.501,0.346,0.304,0.325,0.295,0.147,41.591,0.017,0.495,0.38,0.282,0.327,0.277,0.08,0.015
cvss3_severity,method,whole,codebert,lgbm,500-300,0.484,0.344,0.293,0.318,0.283,0.116,48.515,0.017,0.501,0.37,0.286,0.325,0.281,0.093,0.016
cvss3_severity,method,whole,codebert,rf,100-100,0.48,0.251,0.283,0.267,0.255,0.11,1.479,0.016,0.499,0.238,0.268,0.252,0.248,0.062,0.016
cvss3_severity,method,whole,codebert,rf,100-200,0.478,0.333,0.283,0.307,0.257,0.106,1.648,0.013,0.494,0.486,0.271,0.363,0.257,0.058,0.012
cvss3_severity,method,whole,codebert,rf,100-300,0.481,0.412,0.288,0.345,0.269,0.11,1.862,0.013,0.487,0.484,0.269,0.361,0.257,0.052,0.012
cvss3_severity,method,whole,codebert,rf,200-100,0.48,0.251,0.283,0.267,0.254,0.11,2.764,0.025,0.495,0.237,0.266,0.251,0.247,0.053,0.022
cvss3_severity,method,whole,codebert,rf,200-200,0.479,0.375,0.283,0.326,0.258,0.107,3.196,0.026,0.494,0.485,0.27,0.362,0.256,0.055,0.028
cvss3_severity,method,whole,codebert,rf,200-300,0.494,0.38,0.294,0.334,0.27,0.135,3.394,0.032,0.488,0.484,0.269,0.361,0.256,0.051,0.026
cvss3_severity,method,whole,codebert,rf,300-100,0.479,0.251,0.282,0.266,0.253,0.109,4.103,0.036,0.494,0.236,0.264,0.25,0.245,0.048,0.039
cvss3_severity,method,whole,codebert,rf,300-200,0.486,0.378,0.289,0.33,0.265,0.121,4.713,0.032,0.496,0.487,0.271,0.364,0.258,0.061,0.032
cvss3_severity,method,whole,codebert,rf,300-300,0.482,0.373,0.286,0.327,0.264,0.112,5.08,0.03,0.486,0.483,0.267,0.359,0.254,0.045,0.034
cvss3_severity,method,whole,codebert,rf,400-100,0.48,0.252,0.283,0.267,0.254,0.111,5.48,0.043,0.492,0.235,0.263,0.249,0.244,0.045,0.042
cvss3_severity,method,whole,codebert,rf,400-200,0.472,0.369,0.28,0.322,0.257,0.094,6.195,0.042,0.501,0.489,0.273,0.365,0.259,0.068,0.042
cvss3_severity,method,whole,codebert,rf,400-300,0.488,0.378,0.29,0.331,0.266,0.125,6.588,0.041,0.494,0.486,0.271,0.363,0.258,0.059,0.038
cvss3_severity,method,whole,codebert,rf,500-100,0.477,0.25,0.281,0.265,0.252,0.105,6.875,0.054,0.487,0.23,0.26,0.245,0.239,0.033,0.05
cvss3_severity,method,whole,codebert,rf,500-200,0.474,0.412,0.282,0.341,0.258,0.098,7.688,0.052,0.504,0.491,0.275,0.367,0.261,0.074,0.049
cvss3_severity,method,whole,codebert,rf,500-300,0.483,0.399,0.288,0.339,0.267,0.115,8.214,0.048,0.499,0.489,0.274,0.366,0.261,0.07,0.051
